2026-07-09T09:00:01Z;ipv4;200;0.113425;0
2026-07-09T09:00:01Z;ipv6;000;3.093547;0
2026-07-09T09:05:01Z;ipv4;200;0.090296;0
2026-07-09T09:05:01Z;ipv6;000;3.086333;0
2026-07-09T09:10:01Z;ipv4;200;0.121889;0
2026-07-09T09:10:01Z;ipv6;000;3.075872;0
2026-07-09T09:15:01Z;ipv4;200;0.135837;0
2026-07-09T09:15:01Z;ipv6;000;3.050208;0
2026-07-09T09:20:01Z;ipv4;200;0.119845;0
2026-07-09T09:20:01Z;ipv6;000;3.034642;0
2026-07-09T09:25:01Z;ipv4;200;0.112165;0
2026-07-09T09:25:01Z;ipv6;000;3.061372;0
2026-07-09T09:30:01Z;ipv4;200;0.246809;0
2026-07-09T09:30:01Z;ipv6;000;3.104657;0
2026-07-09T09:35:01Z;ipv4;200;0.076823;0
2026-07-09T09:35:01Z;ipv6;000;3.094556;0
2026-07-09T09:40:01Z;ipv4;200;0.167927;0
2026-07-09T09:40:01Z;ipv6;000;3.071471;0
2026-07-09T09:45:01Z;ipv4;200;0.138774;0
2026-07-09T09:45:01Z;ipv6;000;3.062878;0
2026-07-09T09:50:01Z;ipv4;200;0.071543;0
2026-07-09T09:50:01Z;ipv6;000;3.104544;0
2026-07-09T09:55:01Z;ipv4;200;0.124450;0
2026-07-09T09:55:01Z;ipv6;000;3.101842;0
2026-07-09T10:00:01Z;ipv4;200;0.220004;0
2026-07-09T10:00:01Z;ipv6;000;3.097588;0
2026-07-09T10:05:01Z;ipv4;200;0.202137;0
2026-07-09T10:05:01Z;ipv6;000;3.076339;0
2026-07-09T10:10:01Z;ipv4;200;0.097066;0
2026-07-09T10:10:01Z;ipv6;000;3.090560;0
2026-07-09T10:15:01Z;ipv4;200;0.140371;0
2026-07-09T10:15:01Z;ipv6;000;3.086789;0
